ts_index,qs_index,u,q
0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,7.7596622901814916e-01
0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,1.8111171998255740e+00
0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,2.3978952727983707e+00
0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,2.9846733457711676e+00
0.0000000000000000e+00,0.0000000000000000e+00,9.8999999999999999e-01,4.0198243165785916e+00
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e-02,9.3119628959994638e-01
0.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000001e-01,2.2799677554367488e+00
0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,3.0445224377234230e+00
0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000004e-01,3.8090771200100977e+00
0.0000000000000000e+00,1.0000000000000000e+00,9.8999999999999999e-01,5.1578485858468994e+00
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e-02,1.0466204819485634e+00
0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000001e-01,2.5702907004356019e+00
0.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e-01,3.4339872044851463e+00
0.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000004e-01,4.2976837085346906e+00
0.0000000000000000e+00,2.0000000000000000e+00,9.8999999999999999e-01,5.8213539270217289e+00
0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e-02,1.2042592571790611e+00
0.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000001e-01,2.8057581641753533e+00
0.0000000000000000e+00,3.0000000000000000e+00,5.0000000000000000e-01,3.7135720667043080e+00
0.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000004e-01,4.6213859692332626e+00
0.0000000000000000e+00,3.0000000000000000e+00,9.8999999999999999e-01,6.2228848762295543e+00
0.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e-02,1.4747857551920054e+00
0.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000001e-01,3.0429229214223059e+00
0.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e-01,3.9318256327243257e+00
0.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000004e-01,4.8207283440263460e+00
0.0000000000000000e+00,4.0000000000000000e+00,9.8999999999999999e-01,6.3888655102566458e+00
0.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e-02,1.9643992271898856e+00
0.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000001e-01,3.3343267914119790e+00
0.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000000e-01,4.1108738641733114e+00
0.0000000000000000e+00,5.0000000000000000e+00,8.0000000000000004e-01,4.8874209369346442e+00
0.0000000000000000e+00,5.0000000000000000e+00,9.8999999999999999e-01,6.2573485011567369e+00
0.0000000000000000e+00,6.0000000000000000e+00,1.0000000000000000e-02,4.0397725273862219e+00
0.0000000000000000e+00,6.0000000000000000e+00,2.0000000000000001e-01,4.1820369256226506e+00
0.0000000000000000e+00,6.0000000000000000e+00,5.0000000000000000e-01,4.2626798770413155e+00
0.0000000000000000e+00,6.0000000000000000e+00,8.0000000000000004e-01,4.3433228284599803e+00
0.0000000000000000e+00,6.0000000000000000e+00,9.8999999999999999e-01,4.4855872266964090e+00
