32631,14195,9438
31749,13805,9630
23783,10108,6778
25412,11047,7381
19146,9925,5912
29211,11322,9006
28010,12251,6226
37932,16610,9440
32736,14696,9376
25572,11822,7319
23071,10933,6224
23658,10350,6740
23756,11204,6109
26445,11354,7202
34833,14610,10081
36380,15630,11725
21804,9044,6719
24070,9496,7460
21443,8844,6606
20318,7835,6412
23721,10025,6711
31689,13870,9150
29283,13465,9789
23966,11997,7297
20501,9130,6628
20757,8941,5814
20277,8514,6175
22529,9847,6286
29908,13652,8586
28707,12491,9086
21240,9196,6555
22872,9782,7082
22046,9537,6145
23475,9710,6639
23572,10444,6584
31202,13784,9238
34876,16057,10423
24562,10953,7623
22752,10299,6335
22560,9951,6941
22626,10012,6339
25572,11189,7203
32225,13710,9271
31417,14340,9542
24935,10722,7745
24021,9293,7834
22765,9752,6768
21779,9504,6759
23855,10030,7131
30599,14509,8203
29643,14112,8992
23101,10255,7075
20492,9383,6086
19230,8490,5914
18854,7889,5898
23350,11011,6249
29620,13816,8072
29866,13661,9434
21449,9997,6429
19581,8516,5728
18928,8911,5384
21742,10059,6096
28309,12827,7992
33478,14791,9134
33058,15341,9863
24852,12356,6648
23581,10497,6743
22656,10101,6689
22901,10575,7201
24754,10971,6797
31745,14064,9025
31536,15291,9648
24829,11098,7555
23218,9181,7302
21611,8853,7202
21964,9430,6338
25482,10922,7749
29234,12809,8573
29787,13894,9248
22389,9955,7218
19474,8930,6133
20188,8582,6387
19768,8986,5677
24279,10967,7542
29575,13577,8833
24018,11721,7897
20004,8865,6339
18113,8176,5535
17929,8135,5369
18145,7951,5372
22735,9730,6432
28101,12428,8240
29045,12997,9644
22837,10657,6125
24080,10669,6937
20761,9596,5771
21184,9281,6372
24486,10617,7924
28412,12386,8863
23688,11231,7440
25024,11264,8001
22231,10430,6523
22165,9570,6755
22413,9312,6708
25648,10978,8231
28736,12496,8663
31320,13549,10237
22213,9542,7141
19613,8492,6179
18770,8258,5787
18684,8410,5680
21649,9809,6337
27112,12007,8288
26246,12301,8518
20954,9346,6545
19203,8541,5813
19058,8835,5958
20480,9176,6283
22481,10231,6343
25527,10959,8286
23449,11115,7251
22538,10768,7152
19555,8743,5865
23165,9662,7780
22681,9889,6662
26781,11788,8130
30310,13730,8753
31604,13997,9712
26685,11171,8655
25089,10489,7955
24453,10606,7409
24782,10266,7772
26419,12188,7823
29940,12534,9628
31094,13616,10570
25752,11284,8731
24155,10400,7320
25258,10380,8142
22706,9936,6941
24712,10661,7876
28825,12745,9080
26106,11822,8521
24261,11173,7684
21810,10049,6636
21401,10125,5859
22780,10442,7007
24638,11207,7327
26482,12037,8300
27668,13032,9188
22642,10458,7157
19800,8483,6520
19930,8956,6162
21451,9822,6353
31033,13455,9592
33001,14988,9559
29173,13502,9194
23033,10583,7983
26596,11916,8431
26602,12365,7508
26727,12070,8617
27679,12505,7928
32486,14046,10024
31539,14520,9895
26592,10926,8868
24632,9697,7968
23445,9553,8087
23447,9800,7225
27349,10931,8809
30869,13438,9541
30334,13484,9758
24639,10834,7794
21931,9406,6577
22487,9930,6950
22778,10209,6885
26356,11621,7789
30284,13827,9133
28799,13467,9310
22895,10083,7536
21195,9377,6582
20504,9379,6447
21243,9548,6597
24542,11085,7294
28953,12797,8868
28677,12841,9379
26607,11381,9139
25475,11236,7367
27237,11280,8535
23713,10499,7618
26594,11494,8380
31959,13371,10505
32006,14111,11146
26354,11813,8302
26213,11441,8178
24578,11556,7266
24708,10370,7950
28544,11918,9338
33003,14227,11454
33909,15256,11302
28511,11723,9825
25266,11037,8152
23681,10163,7827
23376,10282,7770
27004,11451,8829
32258,14025,11170
33973,15415,12340
25324,11166,8584
22617,10026,7483
21935,9921,6530
21414,9527,6464
24268,10979,7184
30383,13649,9774
30626,14060,10547
22085,9890,7054
20350,8931,6258
21723,9238,6378
26299,10865,8827
29208,12472,8211
34032,14568,10987
26925,13019,7538
30158,13807,9371
26134,12063,7545
24445,10804,8306
24048,10879,6992
28246,12294,8722
33030,14664,10427
34632,15086,11559
26138,10704,8492
24645,10089,8996
23505,9776,7365
26343,10061,8914
26933,11169,8672
32195,13587,10510
32034,14843,10658
24367,11168,8065
22675,10500,7056
21796,10185,6403
21859,9984,6554
26706,12504,7942
32466,14876,10062
33228,15644,10890
24090,11231,7635
22788,10813,6924
22193,10479,6453
22383,10203,6762
30182,12957,9333
39312,18020,12475
37214,17094,11153
30455,13097,9428
26114,12525,7671
25913,11262,8050
26066,11009,8057
29985,13365,9630
35930,16599,9984
35940,16507,10106
29401,13561,9623
27427,12035,8545
27414,11066,9193
26116,11244,8632
29885,13338,8488
38426,16285,11799
36127,16289,11864
27592,12373,8841
24202,10748,7826
22441,10247,7082
22402,10350,6850
27130,12600,7942
33151,15555,9982
32876,15709,10427
24516,11321,7832
22437,10278,6919
22142,9747,7055
22982,10419,6825
26880,11718,7734
33219,15724,9473
31853,16057,9647
22695,10191,7218
26039,11094,8384
24808,11227,7191
27902,11972,8193
28596,13252,7868
36887,16293,10807
37887,17402,11608
27278,12654,8943
25188,11987,6793
26092,11442,8143
26147,12375,7213
29755,13522,8425
35922,15332,10782
35348,15584,11654
26773,11665,8462
26701,10860,8414
23928,10281,7426
23114,10244,7206
26507,12106,7601
33545,16144,9488
32753,15546,10141
25574,12213,7925
25654,12047,7813
30787,13587,10465
18427,7356,7361
23998,10726,6790
25292,11762,6923
27134,12714,8050
22378,10501,6342
21584,9993,6305
21089,9455,6314
26268,11572,8053
29727,13326,7741
38129,17353,10618
35078,16724,10136
29220,13173,8415
27267,11773,8357
25453,11594,7850
26347,12133,6701
29438,12985,8401
34786,16330,9205
35743,15956,11283
29151,12691,9194
26913,11733,8881
26794,10962,8557
29644,12215,9558
28885,12697,8521
34159,15522,9998
32087,15434,9351
27068,12610,8011
26262,12023,7657
26662,12182,8174
28182,12706,8596
34646,15765,10177
29958,12557,9803
13,8,2
28032,12390,9044
24651,11775,7274
24791,11737,7294
24541,11761,7139
33652,15763,9371
33751,14365,10491
21807,10218,7224
33053,15152,9307
28751,12740,8345
25821,11512,7530
28499,12283,8558
30405,12809,9197
37143,16634,11191
36722,17261,10981
28206,13418,7173
26640,12192,7940
29044,11470,8551
24715,10549,7901
29463,13098,9508
36815,15748,10482
36459,15729,11336
30548,14013,9018
22187,10525,6925
25348,11172,7249
24034,10689,7069
27204,12202,8441
38578,18418,10606
32587,14539,10434
24702,11365,7619
23549,11109,6593
22408,10622,6163
23237,10471,6757
27199,12353,7920
34362,15406,10189
33577,16101,10428
25188,11745,7645
25124,11836,7136
29851,12931,9481
28615,12804,7708
35104,15263,9950
43029,20129,12224
40075,17149,13255
30681,13798,9108
28108,12785,8889
28579,12568,8174
29927,12783,8329
29863,14425,8128
41757,19661,11675
41904,18559,12585
31675,13954,10394
25100,10417,8084
26878,10994,8240
25195,10984,7754
27604,12922,7653
36622,16872,10383
36338,16159,11747
30218,15012,8907
25190,11695,7529
24115,10847,7091
25211,11506,7423
27870,13707,7914
35769,16555,9801
36281,16642,11486
27270,12306,8578
24359,10826,7474
24802,11237,7570
30232,13345,9398
32543,15070,9186
41319,18599,11479
40325,19659,11556
32703,14495,10091
31532,13714,9198
28608,13444,8623
29759,13510,8320
32322,14999,8464
39559,18693,11508
40612,19895,11973
32501,14208,10659
29100,12027,10424
27841,11442,9328
30752,12217,10192
30951,13203,9867
37904,18035,10571
37694,17657,11908
29187,13338,9190
25533,11847,7490
26227,11486,8107
26015,11851,8128
29055,13339,8995
37089,16871,11133
37843,18402,11664
27182,12909,8595
24649,10868,7899
24783,11820,7311
23879,10902,7304
30732,14468,9012
38463,17706,11017
39783,18364,13427
31359,14409,8717
33033,14685,10213
28318,13210,8372
31368,14080,9582
37545,16567,11741
45638,21332,14331
36210,16717,12377
31993,14798,9553
28800,13265,8757
29575,12768,9372
28568,11970,8998
31938,13809,10255
38546,17340,11717
38707,16661,13304
27672,12652,8285
26067,11179,8696
24699,11358,7849
24824,11805,8022
28143,13739,7946
36708,17336,10893
36764,17793,11660
26670,12217,8879
24848,11545,7727
24448,11052,7873
24530,11014,7832
28977,13571,8572
35647,16121,10820
36124,16904,11736
27356,12736,8617
30290,13593,9577
